"size_date","size_ret"
"4 1970-02-11",0.00861593721553104
"2 1970-02-11",0.00365876996126045
"1 1970-02-11",-0.000944310530056414
"5 1970-02-12",-0.00203216456799041
"3 1970-02-12",-0.000347147860746745
"4 1970-02-12",0.00176769406718527
"2 1970-02-12",-0.00149612900734982
"1 1970-02-12",-0.00251390524012911
"5 1970-02-13",-0.00311182259814951
"3 1970-02-13",-0.00100020295377329
"4 1970-02-13",-0.000653985972934971
"2 1970-02-13",0.00158811943361724
"1 1970-02-13",-0.00478121598281563
"5 1970-02-16",0.00174487145058705
"3 1970-02-16",-0.00138744635185197
"4 1970-02-16",0.000441078826874638
"2 1970-02-16",0.00173857548831373
"1 1970-02-16",3.95922510156414e-05
"5 1970-02-17",-0.00194601527353199
"3 1970-02-17",-0.00351899955732188
"4 1970-02-17",-0.00391782937364189
"2 1970-02-17",-0.00426567340333904
"1 1970-02-17",-0.0058048521230585
"5 1970-02-18",0.0106180043576741
"3 1970-02-18",0.011828830484214
"4 1970-02-18",0.0126997841500708
"2 1970-02-18",0.0101076928054997
"1 1970-02-18",0.00632580879881308
"5 1970-02-19",0.0080295139975247
"3 1970-02-19",0.00260689117771421
"4 1970-02-19",0.00233243846355739
"2 1970-02-19",0.00228689181619926
"1 1970-02-19",0.000744558131151627
"5 1970-02-20",0.00287409833985498
"3 1970-02-20",0.000462403730865179
"4 1970-02-20",0.000610120247550094
"2 1970-02-20",-0.00102515216261638
"1 1970-02-20",0.000312263419400376
"5 1970-02-24",-0.000663668179303285
"3 1970-02-24",-0.00157418346290171
"4 1970-02-24",-0.00067510872633158
"2 1970-02-24",-0.00246204322624269
"1 1970-02-24",-0.000469280237909933
"5 1970-02-25",0.0115361336724667
"3 1970-02-25",0.0140275936722688
"4 1970-02-25",0.0155641663740784
"2 1970-02-25",0.0109793609781813
"1 1970-02-25",0.00481651500480826
"5 1970-02-26",-0.0029769578009867
"3 1970-02-26",-0.00526192660816035
"4 1970-02-26",-0.00262209977940165
"2 1970-02-26",-0.00496796487786082
"1 1970-02-26",-8.78088149564699e-05
"5 1970-02-27",0.00160909743746883
"3 1970-02-27",0.00637721294570058
"4 1970-02-27",0.00901941204026141
"2 1970-02-27",0.00507663310035336
"1 1970-02-27",0.00850629334749666
"5 1970-03-02",-0.00442741230952595
"3 1970-03-02",0.00317975747108198
"4 1970-03-02",0.00211745489383889
"2 1970-03-02",0.000368815864987064
"1 1970-03-02",0.00120574259506815
"5 1970-03-03",0.00226294717617303
"3 1970-03-03",0.00388872806335142
"4 1970-03-03",0.00274672781778299
"2 1970-03-03",0.00130229144033057
"1 1970-03-03",0.000552251776014909
"5 1970-03-04",-0.00335519820436494
"3 1970-03-04",-0.00431494533338965
"4 1970-03-04",0.00205940312661454
"2 1970-03-04",0.00150910160204851
"1 1970-03-04",-0.00365820246954246
"5 1970-03-05",-0.00190302553858648
"3 1970-03-05",0.00261468888801064
"4 1970-03-05",0.00307227296175309
"2 1970-03-05",0.00147272208189584
"1 1970-03-05",0.000145812631280383
"5 1970-03-06",-0.00826901199153653
"3 1970-03-06",-0.00449842045898776
"4 1970-03-06",-0.00487391304772691
"2 1970-03-06",-0.000665891498111557
"1 1970-03-06",0.00189462225614426
"5 1970-03-09",-0.0129525920919673
"3 1970-03-09",-0.00849182159407351
"4 1970-03-09",-0.0125202045483498
"2 1970-03-09",-0.0112015563503113
"1 1970-03-09",-0.00952869115940232
"5 1970-03-10",0.00796031616657278
"3 1970-03-10",-0.000268921691192044
"4 1970-03-10",0.00139537631156769
"2 1970-03-10",-0.00284881410444076
"1 1970-03-10",-0.00332785966894235
"5 1970-03-11",0.00172142067134872
"3 1970-03-11",-0.000870733749094024
"4 1970-03-11",-9.96693831697219e-05
"2 1970-03-11",0.00300910900235116
"1 1970-03-11",-0.000713939455650378
"5 1970-03-12",-0.00189684457703917
"3 1970-03-12",-0.00288927550386307
"4 1970-03-12",-0.00514454551457321
"2 1970-03-12",-0.0046082811040822
"1 1970-03-12",-0.00828466437999515
"5 1970-03-13",-0.00866786120197618
"3 1970-03-13",-0.0063115753228238
"4 1970-03-13",-0.00929075003942619
"2 1970-03-13",-0.0102976639337494
"1 1970-03-13",-0.00551391738123199
"5 1970-03-16",-0.0100606933755114
"3 1970-03-16",-0.0155013959961583
"4 1970-03-16",-0.0124092140681579
"2 1970-03-16",-0.0155217623225323
