"BM5","min_BM","year"
3,0.000819707998297808,1970
5,0.0015633467220369,1970
4,0.00110562414266118,1970
2,0.000549777886790396,1970
1,1.18892810700353e-05,1970
3,0.000645950846091861,1971
4,0.000871597906721828,1971
5,0.00121131393229312,1971
2,0.000412925457756557,1971
1,3.67874911158493e-05,1971
4,0.000916116519892203,1972
3,0.000662442847811888,1972
5,0.00124675571289543,1972
2,0.000416899565492572,1972
1,4.78975215817313e-06,1972
3,0.000958223311811533,1973
5,0.00186290064102564,1973
4,0.00131030896380743,1973
2,0.000603294933729716,1973
1,3.2530549791444e-05,1973
3,0.00130415436188044,1974
4,0.00172400556481711,1974
5,0.00243053841784672,1974
2,0.000830786082311358,1974
1,1.13653357260355e-05,1974
3,0.00125571504518873,1975
5,0.00240924938704816,1975
4,0.00170351343715561,1975
2,0.00078126519284142,1975
1,4.35207596350773e-06,1975
3,0.00117438376091868,1976
4,0.00154528766432058,1976
5,0.00209722474152004,1976
2,0.000771511473283789,1976
1,9.42460317460317e-06,1976
3,0.00112903077840466,1977
4,0.00147693360013453,1977
2,0.000754529608881056,1977
1,2.08695652173913e-06,1977
5,0.00202053140096618,1977
4,0.00131297796802534,1978
3,0.000978832623727995,1978
1,5.16742455560149e-07,1978
2,0.000648918773938506,1978
5,0.00173753743174212,1978
4,0.00137782360345885,1979
3,0.00102281368215157,1979
5,0.00182679461615155,1979
2,0.000634850332552763,1979
1,1.05446543187236e-06,1979
4,0.00144008897438162,1980
3,0.00100792515734736,1980
5,0.00197270124508955,1980
2,0.000568263116057234,1980
1,1.63492496994896e-06,1980
4,0.00107375712708284,1981
3,0.00068609313201569,1981
5,0.00159159849284099,1981
1,1.72844248127521e-06,1981
2,0.000364151057870497,1981
5,0.00189094085176257,1982
4,0.00137792691513205,1982
1,1.18259148212776e-06,1982
2,0.000523925465838509,1982
3,0.000923916617347274,1982
5,0.00126474540839182,1983
4,0.000866886283747723,1983
1,1.30705606045134e-06,1983
3,0.000564266929651545,1983
2,0.00031501103588707,1983
1,1.06194690265487e-06,1984
4,0.000997284518561114,1984
2,0.000409713701431493,1984
5,0.00138077622532712,1984
3,0.000698214186369958,1984
4,0.000922524256633504,1985
1,1.06769165065129e-06,1985
2,0.000370138373233,1985
5,0.0012560931668151,1985
3,0.000648031983557953,1985
1,2.40974529346622e-07,1986
5,0.00110677271631718,1986
2,0.000306644161423968,1986
3,0.000538562377102906,1986
4,0.000779100529100529,1986
5,0.00111237080747528,1987
2,0.000292154340614245,1987
3,0.000536588013896931,1987
1,8.96185102959448e-07,1987
4,0.000786793207519727,1987
5,0.0013057370030581,1988
2,0.000371233653322984,1988
1,7.91379614909027e-07,1988
3,0.000646331519264172,1988
4,0.000934035827186512,1988
5,0.00125180616740088,1989
1,1.96282892719131e-06,1989
2,0.000336344377850654,1989
3,0.000609921671018277,1989
4,0.000871572871572871,1989
5,0.00141860465116279,1990
2,0.000329554168441067,1990
1,2.91390728476821e-07,1990
4,0.000949870309458817,1990
3,0.000627594627594628,1990
3,0.000636817722928284,1991
1,1.25881168177241e-07,1991
2,0.000348583770887369,1991
5,0.00153624573966166,1991
4,0.000958924686556574,1991
3,0.000582331855652348,1992
4,0.000880578484813546,1992
2,0.000322385339018912,1992
1,1.06410147271644e-07,1992
5,0.00139391303160519,1992
3,0.000579579609868275,1993
5,0.00131521892158243,1993
4,0.000853571230147707,1993
1,1.99818498197463e-07,1993
2,0.00032727287825253,1993
3,0.000573882289579572,1994
4,0.000826506237885944,1994
5,0.00120971995205405,1994
1,1.45290763139733e-07,1994
2,0.00034349797021392,1994
3,0.000597787827241422,1995
4,0.000856942044014287,1995
1,3.61984158778612e-07,1995
2,0.000349522222331792,1995
5,0.00124345732514747,1995
3,0.000504334121355398,1996
5,0.0011016390331839,1996
4,0.00075800748745676,1996
2,0.000275122116032377,1996
1,5.17464424320828e-07,1996
4,0.000746851859599214,1997
3,0.000518662746222987,1997
1,4.99894367559227e-07,1997
2,0.000306764478588695,1997
5,0.00112454362911392,1997
4,0.000647060732248121,1998
3,0.0004556734103863,1998
1,5.21436632413246e-07,1998
2,0.00027942295645289,1998
5,0.00099750556192274,1998
4,0.000831940669324187,1999
3,0.000569684404515089,1999
1,1.41942785851293e-07,1999
5,0.00127918048542017,1999
2,0.000331013695706272,1999
3,0.00060662644053055,2000
1,1.14982177762447e-07,2000
2,0.000306624813466197,2000
4,0.000961275574783217,2000
5,0.00158217983530918,2000
3,0.000605406415226053,2001
2,0.000335815664192846,2001
5,0.00153334395928809,2001
1,3.51265127118271e-07,2001
4,0.000902911194934906,2001
4,0.000817341851177451,2002
3,0.000563780721284977,2002
1,4.37224968110371e-08,2002
2,0.000355271752949919,2002
5,0.00132599705794176,2002
4,0.000879112068917753,2003
3,0.000628850680740366,2003
5,0.00143727714145769,2003
2,0.00041315390785135,2003
1,2.09506430462315e-07,2003
5,0.00105802949556675,2004
3,0.000511608644595582,2004
2,0.000325100270795225,2004
1,1.44198263429408e-07,2004
4,0.000704598103654603,2004
5,0.000996009628778337,2005
3,0.000504495136036163,2005
1,2.60525324893398e-07,2005
2,0.00032025752956294,2005
4,0.000692542486893697,2005
4,0.000647684423467722,2006
3,0.000461839671281099,2006
1,1.14615805255344e-07,2006
2,0.000291361590350276,2006
5,0.000925361482883426,2006
3,0.000439607355111306,2007
5,0.000880383354178849,2007
1,8.69295058073537e-08,2007
2,0.000274607942042415,2007
4,0.000620275294334165,2007
3,0.000503841921208748,2008
5,0.00108504844560911,2008
1,1.74806687776735e-07,2008
2,0.000299469677336495,2008
4,0.00072136908616666,2008
3,0.000768050498513319,2009
4,0.00112516043551197,2009
2,0.000473093455863347,2009
1,3.40454738243868e-07,2009
5,0.00180951723503152,2009
4,0.000958908678295628,2010
5,0.00144593473740225,2010
1,2.61930955000262e-07,2010
2,0.0003950682392546,2010
3,0.000658333775927223,2010
3,0.000564479139229853,2011
5,0.00128766526867779,2011
2,0.000331772785518634,2011
1,1.64701572250306e-07,2011
4,0.000842180106999274,2011
3,0.000673611111111111,2012
2,0.000389740936409333,2012
1,1.3960691975585e-07,2012
4,0.00101278965906278,2012
5,0.00154116535560465,2012
5,0.00122244362840336,2013
1,2.05204581354304e-07,2013
2,0.000321532042971931,2013
3,0.000551918209788608,2013
4,0.000834985338511423,2013
4,0.000745579145594159,2014
2,0.000275596936238622,2014
1,4.22228361145773e-07,2014
3,0.00048969984499289,2014
5,0.00111255842377403,2014
4,0.000725344217491284,2015
2,0.00026530473089574,2015
3,0.00046319126810552,2015
1,4.97431271312771e-07,2015
5,0.00111036220248583,2015
