"BM5","min_BM","year"
3,0.000886914765906362,1970
5,0.00168034384686671,1970
4,0.00121789936551892,1970
2,0.00057929636926541,1970
1,1.18892810700353e-05,1970
3,0.000703699903251341,1971
4,0.000950250614250614,1971
2,0.000455860805860806,1971
1,4.64840763821348e-05,1971
5,0.00133467643666022,1971
4,0.001002945762192,1972
3,0.000724133922343641,1972
5,0.00139361524690603,1972
2,0.000484135559921415,1972
1,4.78975215817313e-06,1972
3,0.00112884647822839,1973
5,0.00209064112960317,1973
4,0.00148715691951361,1973
1,6.6032593426747e-05,1973
2,0.000753218620543341,1973
2,0.000959277685645845,1974
4,0.00190319812346244,1974
5,0.00268646422345228,1974
1,1.13653357260355e-05,1974
3,0.00143527839451618,1974
2,0.000904328256659863,1975
4,0.00188713910761155,1975
5,0.00270600255427842,1975
3,0.00138820087762067,1975
1,4.35207596350773e-06,1975
3,0.00128177155418057,1976
4,0.00166477541371158,1976
5,0.00228226142017187,1976
2,0.000861758398856326,1976
1,9.42460317460317e-06,1976
3,0.00124479914353147,1977
2,0.00083714097372634,1977
4,0.00160576704416246,1977
1,2.08695652173913e-06,1977
5,0.00226560368016841,1977
4,0.00140502577043992,1978
1,5.16742455560149e-07,1978
3,0.00105644302449414,1978
2,0.000708115522070897,1978
5,0.00188965972910472,1978
4,0.0014571555612018,1979
3,0.00109607877739738,1979
1,1.05446543187236e-06,1979
2,0.000686893765856302,1979
5,0.00194616639477977,1979
4,0.00152415399369777,1980
3,0.00107380274351147,1980
5,0.00209446411929171,1980
2,0.000582879055603594,1980
1,1.63492496994896e-06,1980
4,0.00114104098831641,1981
3,0.00073646872737713,1981
5,0.00167391892414113,1981
1,1.72844248127521e-06,1981
2,0.000360459150955496,1981
4,0.00142980625931446,1982
1,1.18259148212776e-06,1982
5,0.00202083333333333,1982
2,0.00052964867277475,1982
3,0.000948723503017175,1982
5,0.00130833541927409,1983
3,0.000591463414634146,1983
1,1.30705606045134e-06,1983
2,0.000328602560562275,1983
4,0.00088553071858581,1983
1,1.06194690265487e-06,1984
5,0.00141216228158549,1984
2,0.000393747867317888,1984
3,0.000700823626959371,1984
4,0.00101122574784245,1984
1,1.06769165065129e-06,1985
5,0.00130697565664701,1985
3,0.000658004522840344,1985
2,0.000371297782182025,1985
4,0.000943106995884774,1985
1,2.28742985810787e-06,1986
5,0.0011807110389418,1986
3,0.000550841899708927,1986
2,0.000304060553410377,1986
4,0.000802778849864917,1986
5,0.00116633399866933,1987
1,8.96185102959448e-07,1987
2,0.000279733177218684,1987
4,0.00080037037037037,1987
3,0.000525836325140385,1987
5,0.00139937235639241,1988
1,7.91379614909027e-07,1988
3,0.000642872408634324,1988
2,0.000353753318851074,1988
4,0.000950278429111128,1988
5,0.00137988534936767,1989
1,2.76535697035891e-06,1989
4,0.000907089010962878,1989
2,0.000331303454770925,1989
3,0.000618699702977838,1989
5,0.00161649647279365,1990
1,9.14743085828629e-07,1990
3,0.000641706973081948,1990
4,0.00100929026587563,1990
2,0.000328123180717302,1990
3,0.000658010198131042,1991
2,0.000353382699736651,1991
4,0.00105037349166826,1991
5,0.00183940242763772,1991
1,1.25881168177241e-07,1991
4,0.000965902319780084,1992
1,1.06410147271644e-07,1992
5,0.00160769171125068,1992
3,0.000614171035223667,1992
2,0.000331145400903371,1992
4,0.000967535181830849,1993
1,1.99818498197463e-07,1993
3,0.000632276054781072,1993
5,0.00149006560449859,1993
2,0.000345152981391878,1993
3,0.000622357173559984,1994
4,0.000910950645962261,1994
5,0.00134656580937973,1994
1,1.45290763139733e-07,1994
2,0.000362092557144466,1994
3,0.000651187279808724,1995
4,0.000946613689723677,1995
1,3.61984158778612e-07,1995
2,0.000368048365187779,1995
5,0.00136706999720658,1995
4,0.000830895188074457,1996
1,5.17464424320828e-07,1996
2,0.000301165440206559,1996
5,0.00122625101191782,1996
3,0.000551551389786684,1996
3,0.000559497762615888,1997
1,4.99894367559227e-07,1997
2,0.000328337429132953,1997
4,0.000811469263005325,1997
5,0.00130177057624209,1997
3,0.00047758073548628,1998
1,5.21436632413246e-07,1998
4,0.000695690189431556,1998
2,0.000293487191659515,1998
5,0.00120729833237972,1998
3,0.000609290965312286,1999
1,1.41942785851293e-07,1999
5,0.00151395614570385,1999
2,0.000355610780746132,1999
4,0.000900925840742011,1999
3,0.000677661245305463,2000
1,1.14982177762447e-07,2000
2,0.000328704512735862,2000
4,0.00108894463188214,2000
5,0.00187693940184494,2000
3,0.000673336086732517,2001
2,0.000359860931647171,2001
5,0.00191843532005713,2001
1,3.51265127118271e-07,2001
4,0.00104151365718882,2001
3,0.000611045670828169,2002
1,3.11692516469199e-07,2002
2,0.000371570391169626,2002
5,0.00175753812081943,2002
4,0.000937489129515819,2002
3,0.00066113955082898,2003
4,0.000952208847894281,2003
2,0.000421344368355057,2003
1,2.09506430462315e-07,2003
5,0.00179642712719142,2003
3,0.000526931999693466,2004
2,0.000331955220308558,2004
1,3.11157470431201e-07,2004
4,0.000742568160936274,2004
5,0.00124193685145665,2004
3,0.000510240972518768,2005
1,2.60525324893398e-07,2005
2,0.00031667890145346,2005
4,0.000726156745256521,2005
5,0.00113573402276693,2005
3,0.000465350363811856,2006
1,1.14615805255344e-07,2006
2,0.000293329066069397,2006
4,0.000670994979270821,2006
5,0.00104703456598364,2006
5,0.000965520673570676,2007
1,8.69295058073537e-08,2007
2,0.000275808594038201,2007
3,0.000450198334018868,2007
4,0.000645496051798285,2007
5,0.00118767923458991,2008
1,1.74806687776735e-07,2008
3,0.000513634071890475,2008
