"size_date","size_ret"
"4 1970-02-11",0.00979277709073664
"2 1970-02-11",0.00417833441351055
"1 1970-02-11",-0.000369983714262526
"5 1970-02-12",-0.00194473752557692
"3 1970-02-12",8.1014750930245e-05
"4 1970-02-12",0.00148618205921335
"2 1970-02-12",-0.000257068361085715
"1 1970-02-12",-0.00211667006697548
"5 1970-02-13",-0.0027574443936671
"3 1970-02-13",-0.00120817811604843
"4 1970-02-13",-0.000919878039819221
"2 1970-02-13",0.00123906945098189
"1 1970-02-13",-0.00366892236590474
"5 1970-02-16",0.00162099772026536
"3 1970-02-16",-0.000411452098436162
"4 1970-02-16",0.000202179400898942
"2 1970-02-16",0.00206695952313789
"1 1970-02-16",-1.88442420908178e-05
"5 1970-02-17",-0.00188052325492296
"3 1970-02-17",-0.00311701366185401
"4 1970-02-17",-0.00399401174149168
"2 1970-02-17",-0.00436777841588297
"1 1970-02-17",-0.00596214354780418
"5 1970-02-18",0.0103645200056038
"3 1970-02-18",0.0130883495720649
"4 1970-02-18",0.0137051025537056
"2 1970-02-18",0.0104613219043419
"1 1970-02-18",0.00626725923251897
"5 1970-02-19",0.00713665645078448
"3 1970-02-19",0.0032638876040829
"4 1970-02-19",0.00147212836886017
"2 1970-02-19",0.00180749569565551
"1 1970-02-19",0.000548260917308727
"5 1970-02-20",0.00246957457488289
"3 1970-02-20",0.000305808654540066
"4 1970-02-20",0.000531482355266849
"2 1970-02-20",-0.000623801399762368
"1 1970-02-20",0.000693581759666949
"5 1970-02-24",-0.00120097163323446
"3 1970-02-24",-0.00178160948074972
"4 1970-02-24",-0.00140214588498257
"2 1970-02-24",-0.00221258506317843
"1 1970-02-24",-0.00178394544962781
"5 1970-02-25",0.0114595682139232
"3 1970-02-25",0.0148186933329784
"4 1970-02-25",0.0168539608043827
"2 1970-02-25",0.0123851335060227
"1 1970-02-25",0.00593844499090721
"5 1970-02-26",-0.00308013060229248
"3 1970-02-26",-0.00625162482742263
"4 1970-02-26",-0.00375612108506711
"2 1970-02-26",-0.00534547612411445
"1 1970-02-26",0.000817072796358343
"5 1970-02-27",0.00186677313494819
"3 1970-02-27",0.00601954820128001
"4 1970-02-27",0.00939781186040266
"2 1970-02-27",0.00602773793799468
"1 1970-02-27",0.00886534179344543
"5 1970-03-02",-0.00424032413145259
"3 1970-03-02",0.00279626490918275
"4 1970-03-02",0.000973862016974537
"2 1970-03-02",0.000331801535004585
"1 1970-03-02",0.00147554203320521
"5 1970-03-03",0.00236441907847716
"3 1970-03-03",0.00357806629219469
"4 1970-03-03",0.00283884934496612
"2 1970-03-03",0.00170343276387444
"1 1970-03-03",0.000598429000244001
"5 1970-03-04",-0.00348242359948392
"3 1970-03-04",-0.00429416732742476
"4 1970-03-04",0.00180779332336576
"2 1970-03-04",0.00142429013130966
"1 1970-03-04",-0.00274924715423916
"5 1970-03-05",-0.00147000265892979
"3 1970-03-05",0.0021596226104945
"4 1970-03-05",0.00282946127717767
"2 1970-03-05",0.00130509590418438
"1 1970-03-05",9.25633864757923e-05
"5 1970-03-06",-0.00843774684222126
"3 1970-03-06",-0.00455949844889212
"4 1970-03-06",-0.00509628876309564
"2 1970-03-06",-0.000105583067048501
"1 1970-03-06",0.00257295617185297
"5 1970-03-09",-0.012730268761535
"3 1970-03-09",-0.00900455187814852
"4 1970-03-09",-0.0131661565005565
"2 1970-03-09",-0.0121166662252033
"1 1970-03-09",-0.010000175716212
"5 1970-03-10",0.00778599224006688
"3 1970-03-10",0.000150200724909322
"4 1970-03-10",0.000438223665512811
"2 1970-03-10",-0.00229226558906661
"1 1970-03-10",-0.00222823312898869
"5 1970-03-11",0.00174024318416127
"3 1970-03-11",-0.00130558299459926
"4 1970-03-11",-0.000265292111054075
"2 1970-03-11",0.00278151563187485
"1 1970-03-11",-6.00134053080661e-05
"5 1970-03-12",-0.00212699101224333
"3 1970-03-12",-0.00256496418434974
"4 1970-03-12",-0.00522303294833673
"2 1970-03-12",-0.00504889947099408
"1 1970-03-12",-0.00768863578138104
"5 1970-03-13",-0.00849075422728104
"3 1970-03-13",-0.00655819324409734
"4 1970-03-13",-0.00899234867317755
"2 1970-03-13",-0.0095899069720972
"1 1970-03-13",-0.00510484455888556
"5 1970-03-16",-0.00998118701969907
"3 1970-03-16",-0.0162260991990368
"4 1970-03-16",-0.0125080655513827
"2 1970-03-16",-0.0154874525432247
"1 1970-03-16",-0.0141826009177095
"5 1970-03-17",0.00440120308732916
"3 1970-03-17",-0.0015013107735927
"4 1970-03-17",0.0050759064623843
"2 1970-03-17",-0.00257038110372903
"1 1970-03-17",-0.00166061286322742
"5 1970-03-18",0.00251999294509063
"3 1970-03-18",-0.00017456645194248
"4 1970-03-18",0.00226068573447485
"2 1970-03-18",-0.00150965423072157
"1 1970-03-18",0.00244510993144696
"5 1970-03-19",-0.00290252490512866
"3 1970-03-19",-0.00738451028362898
"4 1970-03-19",-0.00609855217032516
"2 1970-03-19",-0.00558731266253367
"1 1970-03-19",-0.00516899082419282
"5 1970-03-20",-0.00587437181354496
"3 1970-03-20",-0.00925677704203153
"4 1970-03-20",-0.00958619941328009
"2 1970-03-20",-0.0106658890546
"1 1970-03-20",-0.00936236531240539
"5 1970-03-23",0.000539068863882066
"3 1970-03-23",-0.00355263697001226
"4 1970-03-23",-0.00109785201280889
"2 1970-03-23",-0.00346155526568267
"1 1970-03-23",-0.00742791795874612
"5 1970-03-24",0.00990066722064089
"3 1970-03-24",0.00607453416350371
"4 1970-03-24",0.00616238568144742
"2 1970-03-24",0.00413518029332487
"1 1970-03-24",-0.000299456231952958
"5 1970-03-25",0.0200520539408805
"3 1970-03-25",0.0287149702552151
"4 1970-03-25",0.0247625198171435
"2 1970-03-25",0.0292476642109171
"1 1970-03-25",0.0182645950539653
"5 1970-03-26",0.00365044621602166
"3 1970-03-26",0.00393267730591401
"4 1970-03-26",0.00265741760696564
"2 1970-03-26",0.00224232668369519
"1 1970-03-26",0.00162873320473277
"5 1970-03-30",0.00137737596614385
"3 1970-03-30",-0.00391190779363983
"4 1970-03-30",-0.000183036233470165
